,Hotel Names,Rating,Stars,Location,Center Distance,Price,Description
10,BCN Urbaness Hotels Bonavista,"7,8",2,Gracia,1.5,1.068,"El BCN Urbaness Hotels Bonavista se encuentra en Barcelona, a 400 metros de La Pedrera y a menos de 1 km de la Casa Batlló. Este establecimiento ofrece recepción 24 horas, mostrador de información turística y wifi gratuita en todas las instalaciones. El establecimiento ofrece habitaciones familiares.

Todas las habitaciones tienen baño privado. Algunas también incluyen balcón (según disponibilidad) y otras ofrecen vistas a la ciudad.

El hostal se halla cerca de lugares de interés populares, como el Passeig de Gràcia, la Sagrada Familia y el Teatro Tívoli. El aeropuerto más cercano es el de Barcelona El Prat, ubicado a 13 km del BCN Urbaness Hotels Bonavista."
11,Moxy Barcelona,"8,1",4,Sants,2.4,1.021,"Moxy Barcelona dispone de piscina de temporada al aire libre, centro de fitness, restaurante y bar en Barcelona. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento ofrece centro de negocios, servicio de conserjería y cambio de moneda.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana, balcón y baño privado con ducha. En Moxy Barcelona, cada habitación incluye ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o sin gluten.

Estación de tren de Sants está a 5 min a pie del alojamiento, y Fuente Mágica de Montjuïc está a 1,3 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 11 km."
12,Abba Garden,"8,4",4,Barcelona,5.7,879,"Este hotel moderno se encuentra en la zona norte de Barcelona, a poca distancia de la avenida Diagonal y del Camp Nou, el famoso estadio del FC Barcelona. Los huéspedes tienen acceso gratuito a la piscina al aire libre de temporada y al gimnasio. Hay wifi gratuita en todas las instalaciones.

Las habitaciones con vistas al exterior cuentan con TV de pantalla plana, minibar y caja fuerte. El baño incluye artículos de aseo gratuitos, bañera y secador de pelo.

Además, el Abba Garden Hotel cuenta con jardines. También hay pista de pádel.

Por la noche, los huéspedes pueden comer en el bar cafetería con terraza.

El alojamiento está situado a 10 minutos a pie de la estación de metro Zona Universitària, que ofrece conexiones con el centro de Barcelona. Asimismo, el establecimiento se halla a 13 minutos a pie de la línea 9 del metro, que ofrece conexiones con el aeropuerto en 15 minutos y con el recinto ferial Fira Barcelona en 30 minutos."
13,HOSTAL BEDMATES,"8,3",2,Sants,1.5,919,"HOSTAL BEDMATES es un alojamiento de 2 estrellas situado en Barcelona, a 2,9 km de Platja de Sant Miquel y a 2,9 km de Platja del Somorrostro. Hay wifi gratis y se ofrece parking privado por un suplemento. Algunas habitaciones del alojamiento tienen un balcón con vistas a la ciudad.

En el hotel, todas las habitaciones tienen escritorio. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen terraza. En HOSTAL BEDMATES, las habitaciones tienen ropa de cama y toallas.

Hay opciones buffet o continentales de desayuno disponibles en el alojamiento.

Cerca del alojamiento hay puntos de interés como Fuente Mágica de Montjuïc, Plaza Cataluña y Santa María del Mar. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 11 km."
14,Hotel Glòries,"7,9",3,Eixample,1.9,901,"Este moderno hotel se encuentra a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Todas las habitaciones disponen de aire acondicionado, calefacción, TV vía satélite y wifi gratuita.

La estación de metro Monumental está a solo 3 minutos a pie del Hotel Glòries, que comunica directamente con plaza Cataluña en unos 5 minutos.

El hotel goza una buena ubicación para acceder a la zona de alta tecnología 22@, además de la Torre Agbar. El Teatro Nacional de Cataluña y la sala de conciertos Auditori se encuentran a solo 400 metros.

La recepción 24 horas del Hotel Glòries ofrece servicio de alquiler de coches y bicicletas. También se pueden reservar tickets."
15,Residencia Universitaria Campus del Mar,"7,9",,Ciutat Vella,1.8,937,"La Residencia Campus del Mar está muy bien ubicada en el barrio de La Barceloneta en Barcelona, a 200 metros de la playa. Alberga un centro de fitness y ofrece conexión gratuita a internet tanto en las habitaciones como en las zonas comunes.

Las habitaciones de la Residencia Campus del Mar disponen de zona de cocina con microondas y set de té/café. La mayoría tiene TV.

La Residencia también cuenta con zona de biblioteca y sala de juegos con mesa de billar y mesa de ping pong. Hay aparcamiento privado, lavandería y recepción 24 horas. Se ofrece un servicio de alquiler de bicicletas bajo petición.

Hay varias máquinas expendedoras.

La Residencia Campus del Mar se encuentra a unos 2 minutos a pie del parque de la Ciudadela y del paseo marítimo. La estación de metro Barceloneta queda a 250 metros.

Este alojamiento permanece abierto todo el año para la comunidad universitaria (estudiantes, profesores, investigadores y personal administrativo)."
16,HG City Suites Barcelona,"8,5",4,Sarrià,2.3,1.019,"El HG City Suites Barcelona está situado en el límite del popular barrio de Gracia de Barcelona, ​​a 300 metros de la estación de metro de Fontana. Las habitaciones de este establecimiento son amplias y modernas y disponen de control de temperatura, minibar y TV de pantalla plana vía satélite.

Todos los alojamientos del HG City Suites Barcelona incluyen caja fuerte y baño privado con secador de pelo y artículos de aseo. Además, se proporciona conexión WiFi gratuita en todas las habitaciones y zonas comunes.

La estación de tren de Gracia FGC está a solo 200 metros del HG City Suites Barcelona y el autobús 24 para cerca. Ambos medios de transporte ofrecen acceso a la plaza de Cataluña en menos de 20 minutos. El Paseo de Gracia se encuentra a 15 minutos a pie del HG City Suites Barcelona.

Hay aparcamiento público disponible cerca del hotel, con descuentos especiales para los huéspedes."
17,Micampus Barcelona Student Residence,"7,9",,Barcelona,5.3,759,"Micampus Barcelona Student Residence se encuentra en Barcelona, a 15 min a pie de Platja del Fòrum, y ofrece alojamiento con centro de fitness, parking privado, jardín y salón de uso común. La residencia de estudiantes, que cuenta con bar, está cerca de varios lugares de interés destacados, a unos 17 min a pie de Platja de Llevant y a 1,8 km de Platja del Litoral. Hay terraza solárium y wifi gratis en todo el alojamiento.

En la recepción 24 horas se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

Port Olimpic está a 4,6 km del alojamiento, y Sagrada Familia está a 4,9 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km."
18,Apartaments Independencia,"8,2",3,Sant Martí,2.6,883,"El Suites Independencia está situado a solo 10 minutos a pie de la Sagrada Familia de Gaudí y a 150 metros de la estación de metro Encants y ofrece apartamentos elegantes con TV por cable.

Los apartamentos del Independencia son luminosos, presentan una decoración moderna y sencilla y cuentan con aire acondicionado, zona de estar amplia y zona de cocina bien equipada con horno. Algunos de ellos tienen también un balcón.

El establecimiento se encuentra en una zona con tiendas, cafeterías y restaurantes y a 10 minutos a pie del mercado de la Sagrada Familia.

El casco antiguo de Barcelona y las Ramblas están a solo 4 paradas de metro de Encants y las playas de Poblenou están a menos de 2 km del Suites Independencia."
19,Aparthotel Silver,"8,7",3,Gracia,2.3,886,"Situado a 100 metros de la estación de metro de Fontana, en el conocido barrio de Gràcia de Barcelona, ​​el Aparthotel Silver cuenta con recepción 24 horas, bar y terraza con jardín. Las habitaciones incluyen conexión Wi-Fi gratuita y cocina americana.

Todas las habitaciones del Aparthotel Silver presentan una decoración sencilla y elegante, y disponen de aire acondicionado, TV vía satélite, caja fuerte con capacidad para un ordenador portátil y baño privado con todas las comodidades. La cocina americana incluye horno eléctrico, hervidor de agua y nevera.

Los huéspedes pueden disfrutar de una copa en el bar del Silver y hacer uso del servicio de habitaciones. El personal de recepción les ayudará a organizar el alquiler de coches o bicicletas y les proporcionará información sobre la ciudad.

El Aparthotel Silver se encuentra a 200 metros de la Casa Vicenç, un edificio de Gaudí, a 10 minutos en metro del centro de Barcelona y a 1 parada del Parc Güell."
20,Travelodge Barcelona Poblenou,"7,3",1,Sant Martí,2.9,948,"Este moderno hotel cuenta con 250 amplias y completamente equipadas habitaciones, un Snack-Bar abierto las 24 horas donde los clientes pueden disfrutar de un desayuno buffet, así como comidas ligeras para el almuerzo y la cena. También dispone de máquinas expendedoras y parking privado de pago. Todas sus instalaciones están perfectamente adaptadas y accesibles para personas con movilidad reducida.
Es un hotel con WiFi de alta velocidad gratuito e ilimitado en las zonas comunes. También disponen de WiFi por un suplemento.
Travelodge Barcelona Poblenou es un hotel pet-friendly que estará encantado de ofrecerte a ti y a tu mascota la mejor experiencia.
Se encuentra en el tradicional barrio de Poblenou, dentro de calles llenas de restaurantes, bares y tiendas. Uno de los barrios con más encanto de la ciudad, ya 600 metros de la playa del Bogatell. Se puede llegar al centro de la ciudad de Barcelona en 10 minutos en metro y el Port Olímpic de Barcelona, con su vibrante vida nocturna, está a solo 20 minutos a pie.
Este es considerado el barrio más innovador de la ciudad. Está en pleno Distrito 22@ y concentra multitud de empresas tecnológicas y de I+D. Por tanto, gracias a su ubicación e instalaciones, también es un alojamiento perfecto para viajes de negocios.
Travelodge Barcelona Poblenou te ofrece todo lo que necesitas para tener la mejor experiencia en la ciudad de Barcelona."
21,Apartaments Sant Jordi Girona 97,"8,2",3,Eixample,1.0,1.244,"Estos apartamentos son elegantes y están situados en el barrio barcelonés del Eixample, a sólo 200 metros de la estación de metro de Girona. Presentan una decoración moderna y disponen de TV y lavadora.

La Pedrera de Gaudí está a sólo 10 minutos a pie y la avenida Passeig de Gràcia se encuentra a 600 metros. A 5 minutos a pie de los apartamentos Sant Jordi Girona 97 encontrará restaurantes y bares.

El Apartaments Sant Jordi Girona 97 ofrece apartamentos con una sala de estar amplia con sofá y una zona de comedor. La cocina dispone de nevera y fogón. Hay conexión Wi-Fi disponible por un suplemento."
22,Hotel Viladomat,"7,6",3,Eixample,1.6,969,"El Hotel Viladomat goza de una ubicación idónea en Barcelona, a menos de 10 minutos a pie de la estación de metro Hospital Clinic. Ofrece WiFi gratuita y bar.

Todas las habitaciones disponen de aire acondicionado, TV vía satélite, caja fuerte, escritorio y minibar. El baño privado incluye bañera, ducha, secador de pelo y artículos de aseo gratuitos.

El Hotel Viladomat cuenta con recepción 24 horas y servicio de venta de entradas. Además, se proporciona servicio de enlace con el aeropuerto por un suplemento y consigna de equipaje.

Está a 20 minutos a pie de la Plaza Catalunya y de las famosas Ramblas de Barcelona. Si lo desea, el personal puede proporcionarle información sobre la ciudad y los principales lugares de interés. El Hotel Viladomat se encuentra a 1 km de la estación de Sants, con servicio directo al aeropuerto de Barcelona."
23,Leonardo Hotel Barcelona Gran Via,"8,6",3,Eixample,1.4,1.052,"Este hotel amplio y moderno se encuentra en el barrio del Eixample, construido en 2004, el Leonardo Hotel Barcelona Gran Via, y cuenta con amplias zonas comunes cubiertas de mármol.

TV de pantalla plana, WiFi, caja fuerte, escritorio, minibar y baño privado con artículos de aseo.

El hotel goza de una buena ubicación para hacer turismo. Se puede ir a pie al barrio Gótico, a las Ramblas y a los lugares de interés de Montjuic. Los principales distritos financieros de la ciudad también se encuentran cerca.

Las habitaciones disponen de TV vía satélite, WiFi gratuita, aire acondicionado y baño con artículos de aseo gratuitos.

El aparcamiento del establecimiento comporta un suplemento."
24,Alberg Pere Tarrés,"7,5",,Les Corts,3.0,917,"El Albergue Pere Tarrés se encuentra a 10 minutos a pie de la estación de tren Sants y a pocos minutos en metro del centro de Barcelona. El albergue dispone de cocina, restaurante y WiFi gratuita.

Las habitaciones del Pere Tarrés Hostel disponen de baño privado, ropa de cama y taquillas. Las habitaciones dobles incluyen toallas.

El Pere Tarrés sirve un desayuno buffet.

El Albergue Pere Tarrés se encuentra a 5 minutos a pie de la estación de metro María Cristina. El albergue está cerca del centro comercial L'Illa Diagonal y a unos 15 minutos del estadio de fútbol Camp Nou."
25,htop BCN City #htopEnjoy,"6,3",2,Horta,2.7,874,"El htop BCN City se encuentra junto al impresionante hospital de Sant Pau y a 10 minutos a pie de la Sagrada Familia. Ofrece habitaciones con aire acondicionado y TV.

Las habitaciones del htop BCN City presentan una decoración sencilla y disponen de escritorio. Todas tienen baño privado y muchas ofrecen vistas al hospital de Sant Pau.

La recepción del htop BCN City está abierta las 24 horas. Hay wifi gratuita en todas las zonas del hotel.

El hotel cuenta con máquinas expendedoras de aperitivos y bebidas. Hay una gran variedad de restaurantes y bares a 10 minutos a pie.

La estación de metro de Sant Pau Dos de Maig está a solo 200 metros del htop BCN City, lo que le permitirá llegar fácilmente al resto de la ciudad."
26,Hostalin Barcelona Diputacion,"6,5",2,Eixample,1.1,806,"Este moderno establecimiento está ubicado en el elegante barrio del Eixample, a 10 minutos a pie de la basílica de la Sagrada Familia. Ofrece conexión Wi-Fi gratuita y habitaciones con aire acondicionado, algunas con balcón.

Las elegantes habitaciones del Hostalin Barcelona Diputación está situadas en un majestuoso edificio modernista y disponen de suelo de madera, TV de plasma por cable y baño privado con artículos de aseo gratuitos.

El establecimiento ofrece recepción 24 horas con caja fuerte, información turística, consigna de equipaje y servicio de conserjería. Se encuentra a 5 minutos a pie de bares, tiendas y restaurantes.

También está a 10 minutos a pie del animado parque de la Ciutadella y a 15 minutos a pie del paseo de Gracia, que alberga La Pedrera y la Casa Batlló de Gaudí.

El Hostalin Barcelona Diputación está a 150 metros de la estación de metro de Tetuán, que ofrece conexión con la playa de la Barceloneta en unos 15 minutos. La estación de autobuses del Nord está a 8 minutos a pie."
27,SM Hotel Sant Antoni,"8,7",3,Eixample,1.5,1.002,"Este hotel moderno y elegante se encuentra a 5 minutos a pie de la Sagrada Familia y ofrece recepción 24 horas y conexión Wi-Fi gratuita en todas las instalaciones. La estación de metro Monumental está a 200 metros.

Las habitaciones del SM Hotel Sant Antoni están decoradas en tonos blancos, negros y rojos y disponen de suelo de parquet, caja fuerte, escritorio, TV de pantalla plana, aire acondicionado, calefacción y baño privado con secador de pelo y artículos de aseo.

El Sant Antoni ofrece un desayuno buffet continental y cuenta con máquinas expendedoras de bebidas y aperitivos. A menos de 5 minutos a pie hay multitud de restaurantes y cafeterías.

El SM Hotel Sant Antoni se encuentra a 900 metros de la sala de conciertos L’Auditori y del teatro nacional. El centro comercial Glòries y el paseo de Gracia están a menos de 20 minutos a pie, mientras que la plaza de Cataluña se encuentra a 10 minutos en autobús o en metro."
28,Catalonia Barcelona 505,"8,5",4,Sarrià,3.3,1.178,"El Catalonia Barcelona 505 se encuentra en la zona Sant Gervasi de Barcelona y dispone de piscina exterior y de habitaciones amplias con WiFi gratuita. El centro está a 15 minutos de la estación de tren de El Putxet, situada a 400 metros.

El hotel está cerca de centros médicos importantes, como Dexeus, Barraquer y las clínicas Teknon y Sant Jordi, y está al lado del Tranvía Azul, con destino al teleférico del Tibidabo.

Las habitaciones tienen aire acondicionado, caja fuerte, minibar y TV vía satélite. Hay escritorio y baño privado con secador de pelo y artículos de aseo.

El restaurante C50&5 elabora cocina internacional, y hay bar y servicio de habitaciones.

La recepción está abierta las 24 horas y ofrece servicio de alquiler de coche. Desde el hotel es fácil llegar a la autopista B20, y el aparcamiento de las instalaciones está disponible por un suplemento."
29,Hotel SB Icaria,"8,1",4,Sant Martí,2.6,1.288,"El Hotel SB Icaria, situado a 300 metros de la playa Nova Icaria de Barcelona, ​​ofrece gimnasio, sauna y piscina al aire libre con solárium y bañera de hidromasaje. Las habitaciones disponen de conexión WiFi gratuita y TV vía satélite de pantalla plana.

Las elegantes y modernas habitaciones del Hotel SB Icaria de Barcelona cuentan con suelo de madera e iluminación regulable. Todas disponen de minibar, caja fuerte y baño privado con secador de pelo.

El elegante restaurante del hotel sirve cocina mediterránea. También hay un bar y una terraza jardín.

El Hotel SB Icaria está situado en la zona del Puerto Olímpico, a 10 minutos a pie del parque de la Ciutadella y del Zoo de Barcelona. La estación de metro de Ciutadella se encuentra a 800 metros, y la catedral de Barcelona y el histórico Barrio Gótico quedan a 2 paradas."
30,Ibis Barcelona Plaza Glòries 22@,"8,3",2,Sant Martí,2.6,1.032,"El Ibis Barcelona Plaza Glòries 22@ se encuentra en el distrito de Glòries de Barcelona, a 500 metros de la Torre Agbar. Ofrece centro de fitness, bar abierto las 24 horas y habitaciones insonorizadas con TV de pantalla plana.

Todas las habitaciones del Ibis Plaza Glòries ofrecen aire acondicionado y calefacción. También ofrecen baño privado con secador de pelo. Se ofrece wifi gratuita en todas las zonas.

El Hotel Ibis Plaza Glòries cuenta con un restaurante que sirve un desayuno bufé.

Las estaciones de metro de Llacuna y Glòries se encuentran a 5 minutos a pie del hotel. Desde aquí, se puede llegar a Plaza Catalunya o la playa de la Barceloneta en menos de 10 minutos."
31,Catalonia Park Güell,"7,8",3,Gracia,3.7,1.027,"El Catalonia Park Güell tiene WiFi gratuita y una piscina en la azotea. Está situado en una zona residencial, fuera del centro histórico de Barcelona y a 600 metros del Park Güell.

Las habitaciones son sencillas y cómodas, y tienen aire acondicionado o calefacción y TV vía satélite. También hay un bar restaurante.

El Catalonia Park Güell se encuentra a solo 300 metros de la estación de metro Vallcarca. Esta conecta con el centro de la ciudad en 10 minutos. Las paradas de los autobuses V19 y 22 están cerca. El alojamiento tiene una terraza solárium con vistas a la ciudad.

El hotel se encuentra cerca de algunas de las clínicas médicas más famosas de Barcelona, como Delfos y Quirón.

En los alrededores del hotel hay numerosos clubes deportivos y parques. El conocido barrio de Gràcia también se encuentra a poca distancia a pie y alberga plazas animadas con bares y restaurantes."
32,Private rooms,"6,8",,Nou Barris,6.8,518,"Private rooms está muy bien situado en el barrio de Nou Barris, Barcelona, a 7,5 km de Sagrada Familia, a 8,7 km de Parque Güell y a 9,2 km de Paseo de Gracia. El alojamiento se encuentra a 9,4 km de La Pedrera, a 10 km de Casa Batlló y a 10 km de Estación de metro Passeig de Gràcia. El hostal o pensión hipoalergénico cuenta con wifi gratis en todo el alojamiento.

Teatro Tívoli está a 10 km del alojamiento, y Plaza Cataluña está a 10 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 21 km."
33,Roma Reial,"7,3",1,Ciutat Vella,0.9,927,"Este hotel está situado en la espléndida Plaza Real de Barcelona y ofrece habitaciones sencillas y funcionales. Además, alberga un restaurante que cuenta con arcos de piedra originales y terraza al aire libre.

Las habitaciones del Roma Reial, decoradas en un estilo clásico, incluyen TV y baño privado. Algunas de ellas tienen vistas a la plaza.

El hotel goza de una ubicación privilegiada en el Barrio Gótico de Barcelona, ​​famoso por sus calles estrechas y su arquitectura histórica. Las Ramblas, con sus numerosas tiendas, restaurantes y artistas callejeros, están a menos de 5 minutos a pie."
