,Hotel Names,Rating,Stars,Location,Center Distance,Price,Description
10,Hesperia Barcelona Barri Gòtic,"8,7",,Ciutat Vella,1.1,2.551,"Hesperia Barcelona Barri Gòtic es un alojamiento bien ubicado en el centro de Barcelona que ofrece habitaciones con aire acondicionado, centro de fitness, wifi gratis y salón de uso común. El alojamiento está a unos 18 min a pie de Platja de Sant Sebastià, a 1,6 km de Platja de la Barceloneta y a 5 min a pie de Plaza Real. Este alojamiento hipoalergénico se encuentra a 16 min a pie de Platja de Sant Miquel.

En el hotel, todas las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Cada habitación está equipada con caja fuerte, algunas ofrecen balcón y otras también disponen de vistas a la ciudad. Las habitaciones cuentan con armario y hervidor.

En Hesperia Barcelona Barri Gòtic se sirve un desayuno continental.

Hay un centro de negocios y máquinas expendedoras de snacks y bebidas en el propio alojamiento en el alojamiento. El personal de la recepción habla catalán, inglés y español, y puede ayudar a la clientela a planificar su estancia.

Cerca del alojamiento hay puntos de interés como Santa María del Mar, Museo Picasso y Paseo de Gracia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 12 km."
11,Tembo Barcelona,"8,8",4,Barcelona,5.2,3.167,"Tembo Barcelona está en Barcelona, a 16 min a pie de Platja de Llevant, y dispone de alojamiento con piscina al aire libre, parking privado, centro de fitness y salón de uso común. Ofrece terraza, restaurante y bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con caja fuerte, y algunas también ofrecen vistas a la ciudad. Las unidades cuentan con nevera.

En Tembo Barcelona se puede disfrutar de un desayuno buffet.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

Platja del Fòrum está a 16 min a pie del alojamiento, y Platja del Litoral está a 1,9 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km."
12,Vincci Bit,"8,5",4,Sant Martí,4.4,2.986,"Vincci Bit se encuentra a tan solo 10 minutos andando de la playa de la Mar Bella. La estación de metro de El Maresme Forum está a 7 minutos a pie. El establecimiento cuenta con sauna, gimnasio y piscina en la azotea con vistas a la ciudad.

El restaurante sirve desayuno buffet y comidas a la carta, incluidos productos sin gluten. También hay salón, bar y servicio de habitaciones.

Las habitaciones del Vincci Bit son luminosas y cómodas, y disponen de aire acondicionado, TV de pantalla plana, carta de almohadas y minibar. Los baños privados incluyen ducha, secador de pelo y artículos de aseo gratuitos. Hay WiFi gratuita.

Hay varios bares, restaurantes y tiendas a pocos minutos a pie del hotel. El centro comercial Diagonal Mar está a solo 300 metros.

El Centro Internacional de Convenciones (CCIB) está a 9 minutos a pie del Vincci Bit. Se puede llegar al centro histórico de Barcelona en solo 15 minutos en metro o tranvía."
13,Unite Hostel Barcelona,"8,0",,Sant Martí,2.2,2.428,"El Unite Hostel Barcelona se encuentra en Barcelona, a 400 metros del centro deportivo Nova Icaria, y ofrece alojamiento con restaurante, aparcamiento privado, bar y salón compartido. Además, cuenta con recepción las 24 horas, cocina compartida y WiFi gratuita en todas las instalaciones. Este albergue dispone de habitaciones familiares.

Todas las habitaciones incluyen aire acondicionado y baño privado.

Además, el establecimiento alberga una terraza.

En las inmediaciones hay varios lugares de interés, como el barrio de Somorrostro, la playa del Bogatell y el Puerto Olímpico. Asimismo, el Unite Hostel Barcelona se halla a 18 km del aeropuerto de Barcelona-El Prat."
14,Barceló Raval,"8,3",4,Ciutat Vella,0.9,2.390,"Este hotel de diseño se encuentra en el barrio barcelonés de El Raval y ofrece WiFi gratuita, gimnasio y terraza en la azotea con piscina y vistas panorámicas. En algunas habitaciones hay cafetera Nespresso.

Las habitaciones del Barceló Raval son luminosas y disponen de aire acondicionado, TV grande de plasma con más de 70 canales, minibar y baño moderno.

El restaurante B-Lounge del Hotel Barceló Raval sirve cocina creativa mediterránea, tapas y cócteles en un ambiente elegante. Además, los huéspedes pueden tomar varios tipos de bebidas en la terraza al aire libre.

El Raval Barceló queda a 5 minutos a pie del Museo de Arte Contemporáneo MACBA y a 400 metros de la estación de metro de Liceu, de las Ramblas y del famoso mercado de la Boquería."
15,NH Barcelona Diagonal Center,"8,2",3,Sant Martí,2.2,2.278,"Este hotel de diseño está a 15 minutos de la playa, en el barrio barcelonés de Poblenou, en la zona empresarial de 22@. Desde la estación de metro de Bogatell, a 350 metros, se llega al centro de Barcelona en 25 minutos.

Las modernas habitaciones del NH Barcelona Diagonal Center disponen de TV de pantalla plana con canales vía satélite, escritorio, minibar y caja fuerte. El baño privado incluye artículos de aseo gratuitos y secador de pelo.

El hotel sirve un desayuno buffet.

Hay cafeterías y restaurantes en la rambla de Poblenou, a 10 minutos a pie. El centro comercial Glòries también está a 10 minutos a pie.

Este hotel NH cuenta con recepción 24 horas y centro de negocios. Hay habitaciones e instalaciones adaptadas para personas de movilidad reducida, así como WiFi gratuita en todo el establecimiento.

El aeropuerto de Barcelona está a unos 18 km y el centro de convenciones CCIB, a 3 km. Se ofrece servicio de alquiler de coches y aparcamiento privado por un suplemento."
16,Hotel Via Augusta,"8,4",2,Sarrià,2.1,1.999,"El Hotel Via Augusta está situado junto a la estación FGC de Gracia. Dispone de una terraza en la azotea con vistas de Barcelona. Ofrece habitaciones funcionales con aire acondicionado, conexión inalámbrica a internet gratuita y TV vía satélite con pantalla plana.

El Vía Augusta ocupa un edificio histórico con un original recibidor. Las habitaciones presentan una decoración sencilla y moderna y tienen suelos de madera. Incluyen escritorio, caja fuerte y cuarto de baño con secador de pelo.

El hotel sirve un variado desayuno bufé, y también hay una máquina expendedora de bebidas. A un paseo de 5 minutos, en el popular barrio de Gracia, encontrará una amplia gama de bares y restaurantes.

El Hotel Via Augusta está a 400 m de la estación de metro de Fontana. El parque Güell está a sólo 1 parada de metro. Plaza Catalunya y Las Ramblas están a un trayecto de 5 minutos desde la cercana estación de Gracia."
17,Axel TWO Barcelona 4 Sup - Adults Only,"8,3",4,Eixample,1.5,2.331,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
18,Good-Home Paseo de Gracia,"8,1",3,Eixample,1.3,2.195,"El Good-Home Paseo de Gracia está situado en Barcelona. Ofrece conexión WiFi gratuita y habitaciones con TV, aire acondicionado y balcón o terraza.

Todas las habitaciones cuentan con aire acondicionado, TV de pantalla plana, caja fuerte, zona de estar y baño privado con ducha y secador de pelo.

Este bed and breakfast ofrece un desayuno sencillo de autoservicio, que incluye tostadas, bollería y cereales. La zona de comedor está equipada con microondas, nevera y hervidor eléctrico. Además, hay una tetera/cafetera disponible de 08:00 a 12:00. El establecimiento dispone de mostrador de información turística.

Este bed and breakfast se encuentra a 1 km de la estación de Passeig de Gracia y a 200 metros de la avenida Diagonal y la Pedrera. El aeropuerto de Barcelona-El Prat se sitúa a 13 km."
19,Catalonia Albeniz,"8,4",3,Sant Martí,2.7,1.737,"El Catalonia Albeniz ofrece habitaciones amplias con aire acondicionado, WiFi gratuita y TV vía satélite. El establecimiento se encuentra a 150 metros de la estación de tren de Clot y a 15 minutos a pie de la Sagrada Familia de Gaudí.

El alojamiento cuenta con gimnasio y piscina al aire libre. El Albeniz también ofrece consigna de equipaje.

El Catalonia Albeniz sirve un desayuno buffet variado que incluye platos típicos de la zona, como tortilla de patata y pan con tomate.

Las habitaciones del Albeniz son luminosas, presentan una decoración sencilla en estilo moderno y cuentan con suelo de madera. Todas las habitaciones incluyen minibar, caja fuerte y baño de mármol con secador de pelo.

El Catalonia Albeniz se halla a solo 700 metros de las tiendas y restaurantes del centro comercial Glòries y a 5 minutos a pie del mercadillo de Els Encants. El alojamiento está situado a poca distancia a pie de la estación del Clot, que proporciona conexiones en metro y servicio de tren directo al aeropuerto. Todas las habitaciones del hotel tienen Smart TV con aplicación Chromecast."
20,Pol & Grace Hotel,"8,2",4,Sarrià,2.5,2.117,"El Pol & Grace Hotel ofrece habitaciones únicas, donde las paredes captan la esencia de los artistas y diseñadores que han participado en residencias artísticas en las instalaciones, creando una atmósfera llena de inspiración y originalidad.

El Pol & Grace Hotel se encuentra a solo 100 metros de las estaciones de tren de Plaça Molina y Sant Gervasi de Barcelona. Las habitaciones son amplias y cuentan con aire acondicionado, TV de pantalla plana vía satélite, conexión wifi gratuita y una zona de trabajo con café y té ilimitados a partir de las 10:30.

Todas las habitaciones del Pol & Grace Hotel incluyen minibar, caja fuerte gratuita y baño completamente equipado con artículos de aseo.

El establecimiento sirve un desayuno bufé con productos locales frescos de temporada. También hay opciones vegetarianas y sin gluten.
También hay recepción 24 horas con servicio de taxi, información turística y aparcamiento privado.

La estación de metro Fontana está a 600 metros y ofrece conexiones directas con la plaza Cataluña, Las Ramblas y el Parque Güell. El establecimiento se encuentra a 2 minutos a pie del famoso barrio de Gracia, donde los huéspedes pueden encontrar numerosas tiendas, restaurantes y bares.

Para llegar al hotel desde el aeropuerto en transporte público puedes coger el AEROBUS hasta Plaza Catalunya y después la L6 o L7 hasta Sant Gervasi/Plaza Molina. Desde allí hay 1 minuto a pie hasta el hotel."
21,Hostal Las Flores Ramblas,"8,3",2,Ciutat Vella,0.7,2.012,"Este céntrico hotel se encuentra en Las Ramblas de Barcelona, junto a la estación de metro de Liceu y a 50 metros del mercado de la Boquería. Ofrece habitaciones con aire acondicionado, conexión inalámbrica a internet gratuita y TV de pantalla plana.

Cerca del Hostal Las Flores Ramblas encontrará aparcamiento público. La estupenda ubicación de este hostal le permitirá desplazarse a pie a los principales lugares de interés de la ciudad.

La catedral de Barcelona está a 5 minutos a pie y la Sagrada Familia de Gaudí se encuentra a 10 minutos en metro o autobús.

Las Flores ofrece servicio de recepción las 24 horas, lo que le permitirá disfrutar de la vida nocturna del centro de Barcelona. Este hostal también ofrece guardaequipaje y mostrador de información turística."
22,Cosmo Apartments Rambla Catalunya,"8,4",4,Eixample,0.6,6.566,"El Cosmo Apartments Rambla Catalunya se encuentran en el centro de Barcelona, a solo 6 minutos a pie de la plaza Cataluña, y ofrece habitaciones insonorizadas y WiFi gratuita.

Estos apartamentos modernos y luminosos disponen de 3 dormitorios, 2 baños, zona de cocina equipada con lavavajillas, microondas, horno y cafetera, y zona de estar con sofá y TV de pantalla plana. Se proporcionan las toallas y la ropa de cama.

Se pueden solicitar cestas de alimentos gourmet a la llegada.
En la animada y céntrica Rambla de Catalunya hay numerosos bares, restaurantes y tiendas. Además, el supermercado más cercano está a solo 500 metros del alojamiento.

El paseo de La Rambla de Barcelona se encuentra a 600 metros, mientras que la Casa Batlló de Gaudí queda a 3 minutos a pie. El apartamento se halla a solo 200 metros del Paseo de Gracia, que tiene una estación de metro y de tren con conexiones directas hasta el aeropuerto de El Prat."
23,TSA La Rambla,"9,1",4,Ciutat Vella,1.0,3.452,"TSA La Rambla, que cuenta con terraza y wifi gratis, se encuentra en el centro de Barcelona, cerca de Plaza Cataluña, Portal del Ángel y Teatro Tívoli.

El alojamiento tiene aire acondicionado, cocina totalmente equipada, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Cerca del alojamiento hay puntos de interés como Palacio de la Música Catalana, Paseo de Gracia y Catedral de Barcelona. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 14 km del alojamiento."
24,ME Barcelona,"9,1",5,Eixample,0.2,7.500,"ME Barcelona es un alojamiento con una ubicación excelente en el centro de Barcelona que ofrece habitaciones con aire acondicionado, terraza, wifi gratis y restaurante. Este hotel de 5 estrellas ofrece bar. El hotel tiene piscina al aire libre, discoteca y servicio de habitaciones.

En el hotel, todas las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. ME Barcelona dispone de algunas unidades con vistas a la ciudad, y todas tienen cafetera. Las unidades disponen de caja fuerte.

El alojamiento ofrece desayuno buffet o continental.

En la recepción 24 horas se habla catalán, alemán, inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Teatro Tívoli, Palacio de la Música Catalana y Paseo de Gracia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 13 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
25,Vincci Maritimo,"8,4",4,Sant Martí,4.2,3.375,"El Vincci Marítimo se encuentra a 10 minutos a pie del centro comercial Diagonal Mar y del centro de convenciones CCIB de Barcelona. Ofrece habitaciones luminosas y elegantes con TV de pantalla plana vía satélite y conexión Wi-Fi gratuita.

Las habitaciones del Hotel Marítimo presentan una decoración moderna con suelo de parquet e imágenes relajantes del mar. Además, disponen de aire acondicionado, carta de almohadas, baño privado con secador de pelo y vistas al encantador jardín zen japonés o al parque Diagonal Mar.

El restaurante Jardí de Mar del hotel ofrece platos de cocina mediterránea elaborados con ingredientes frescos. El desayuno del hotel incluye alimentos aptos para celíacos, mientras que el bar salón Ikebana sirve aperitivos, tapas y cócteles que los huéspedes podrán disfrutar en la terraza.

El hotel dispone de recepción 24 horas con servicios de lavandería y de alquiler de coches.

El Vincci Marítimo se encuentra a sólo 500 metros de la playa de Mar Bella, mientras que la estación de metro Selva del Mar está a 2 minutos a pie del hotel y conecta con el centro de la ciudad en 15 minutos."
26,Serennia Apartamentos Ramblas - Plaça Catalunya,"8,4",4,Eixample,0.35,3.723,"Estos elegantes apartamentos cuentan con aire acondicionado, cocina bien equipada, conexión Wi-Fi gratuita, balcón cubierto y un amplio salón comedor con TV de pantalla plana vía satélite. Está situado a 2 minutos a pie de Plaça Catalunya y de la Universidad de Barcelona.

Los Apartamentos Ramblas - Plaça Catalunya se encuentran en un edificio típico del siglo XIX, que presenta ventanas grandes y elegantes suelos de madera. Las cocinas incluyen horno, vitrocerámica, lavavajillas y lavadora-secadora.

Los apartamentos Ramblas - Plaça Catalunya están a sólo 350 metros de las famosas Ramblas. El Barrio Gótico y la Casa Batlló de Gaudí están a 10 minutos a pie de los apartamentos.

En las calles de los alrededores hay una gran variedad de tiendas, bares y restaurantes. La estación de Plaça Catalunya está a 200 metros y los autobuses del aeropuerto y los autobuses turísticos paran a 400 metros."
27,Serennia Cest Apartamentos Arc de Triomf,"8,6",4,Eixample,1.2,2.866,"Estos modernos apartamentos se encuentran a 5 minutos a pie del Arco del Triunfo, en Barcelona. Todos los apartamentos incluyen aire acondicionado, TV de pantalla plana vía satélite y WiFi gratuita.

Los apartamentos del Arc de Triomf Apartments cuentan con suelo de parquet y muebles de madera clara. La cocina es moderna e incluye horno, fogones, lavadora y lavavajillas.

A 2 minutos a pie de los apartamentos hay una gran variedad de bares, restaurantes y supermercados.

El Arc de Triomf Apartments se encuentra a 200 metros de la estación de autobuses Estació del Nord y a 10 minutos a pie de la plaza de Cataluña. El parque de la Ciudadela está a 10 minutos a pie."
28,Great Eixample Apartment,"9,6",3,Eixample,2.0,4.516,"Great Eixample Apartment se encuentra en el barrio de Eixample, en Barcelona, y tiene aire acondicionado, balcón y vistas a la ciudad. Estación de tren de Sants y Paseo de Gracia están a 19 min a pie y a 1,3 km del apartamento, y hay wifi gratis.

Este apartamento tiene 4 dormitorios, cocina con nevera y microondas, TV de pantalla plana, zona de estar y 2 baños con ducha. Hay toallas y ropa de cama en el apartamento.

La Pedrera está a 18 min a pie del alojamiento, y Casa Batlló está a 2 km. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 13 km."
29,Vincci Mae,"8,4",4,Sarrià,2.1,4.008,"El Vincci Mae, situado junto a la plaza Francesc Macià de Barcelona, ​​dispone de terraza con piscina pequeña y vistas fantásticas de la avenida Diagonal y la montaña del Tibidabo.

El Vincci Mae ofrece bar, restaurante, recepción 24 horas y WiFi gratuita en todas las instalaciones. Todos los días se ofrece un desayuno buffet variado.

Las habitaciones son elegantes y cuentan con una decoración sencilla y luminosa, aire acondicionado, TV de pantalla plana, hervidor y minibar. El elegante baño privado incluye ducha, artículos de aseo gratuitos y secador de pelo.

La Casa Batlló se encuentra a 1,6 km del Vincci Mae, mientras que La Pedrera está a 1,3 km. Se puede llegar a Plaza Catalunya en 20 minutos en transporte público."
30,SERHS Carlit Boutique Hotel,"8,5",3,Eixample,1.2,2.262,"El SERHS Carlit Boutique Hotel se encuentra en Barcelona, ​​a 900 metros de la emblemática basílica de la Sagrada Familia y del paseo de Gràcia. Dispone de recepción 24 horas y habitaciones con aire acondicionado, conexión WiFi gratuita y TV de pantalla plana vía satélite.

El Serhs Carlit está a 10 minutos a pie del Arco del Triunfo, con el parque de la Ciutadella y el moderno barrio del Born justo detrás. También está a 15 minutos a pie de la torre Agbar.

El hotel se encuentra a solo 200 metros de la estación de metro de Tetuán, a solo 1 parada de metro del paseo de Gràcia y a 750 metros de la estación de autobuses Estació del Nord.

El hotel cuenta con un bar cafetería que sirve un desayuno buffet diario, así como aperitivos y bebidas durante todo el día. Además, el personal de la recepción podrá facilitar a los huéspedes información sobre actividades, lugares de interés y restaurantes de Barcelona."
31,The White Flats Les Corts,"8,6",4,Les Corts,3.2,4.729,"El The White Flats Les Corts es un alojamiento excepcional situado en el corazón del encantador barrio barcelonés de Les Corts.

Estos exclusivos apartamentos de 2 o 3 dormitorios han sido cuidadosamente diseñados para ofrecer una experiencia de máximo confort y estilo. Todos los rincones presentan una decoración moderna y sofisticada, creando un ambiente acogedor donde los huéspedes se sentirán como en casa. Además, sus espacios están totalmente equipados con todas las comodidades necesarias para proporcionar una estancia ideal. La cocina está totalmente equipada y las camas son muy cómodas.

A pesar de no estar en el centro de la ciudad, su ubicación es inmejorable. A solo 5 minutos a pie se encuentra la parada de metro de Les Corts, que permite explorar fácilmente todas las maravillas de Barcelona. Además, el alojamiento se halla muy cerca del emblemático estadio Camp Nou, sede del legendario FC Barcelona, lo que deleitará a los amantes del fútbol. En los alrededores hay una amplia gama de servicios y comodidades, como supermercados, restaurantes de alta calidad, cafeterías encantadoras y muchas tiendas.

El objetivo del The White Flats Les Corts es ofrecer a los huéspedes una experiencia inolvidable durante su visita en Barcelona. El atento personal estará siempre dispuesto a ayudarles con todo lo que necesiten, asegurando que cada momento de su estancia sea excepcional. Los huéspedes podrán disfrutar de este alojamiento, donde serán recibidos con los brazos abiertos. El The White Flats Les Corts está deseando acogerlos."
